time,cpu_percent,cpu_freq_mhz,ram_percent,ram_used_gb,disk_read_mb_s,disk_write_mb_s,net_sent_mb_s,net_recv_mb_s,gpu_util_percent,gpu_mem_percent,gpu_temp_c,gpu_power_w,label
0.0,0.2,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17.31,idle
0.1,1.0,2611.2,47.3,7.31,0.0,0.195,0.01,0.013,0.0,0.0,49.0,17.18,idle
0.2,1.0,2611.2,47.2,7.31,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17.18,idle
0.3,1.5,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17.18,idle
0.4,1.9,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17.18,idle
0.5,1.3,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17.18,idle
0.6,2.2,2611.2,47.3,7.31,0.0,0.0,0.015,0.019,0.0,0.0,49.0,17.18,idle
0.7,1.7,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,1.0,49.0,17.18,idle
0.8,1.0,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,1.0,49.0,17.18,idle
0.9,1.5,2611.2,47.3,7.31,1.283,0.0,0.0,0.0,0.0,4.0,49.0,17.18,idle
1.0,0.9,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,4.0,49.0,17.18,idle
1.1,1.2,2611.2,47.3,7.31,0.0,0.0,0.012,0.015,0.0,0.0,49.0,17.5,idle
1.2,0.5,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17.5,idle
1.3,21.6,2611.2,47.2,7.31,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17.5,idle
1.4,11.2,2611.2,47.2,7.31,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17.5,idle
1.5,2.5,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17.5,idle
1.6,1.5,2611.2,47.3,7.31,0.0,0.0,0.01,0.013,0.0,0.0,49.0,17.5,idle
1.7,3.5,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17.5,idle
1.8,1.0,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17.5,idle
1.9,0.5,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17.5,idle
2.0,0.5,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17.5,idle
2.1,1.0,2611.2,47.3,7.31,0.0,0.0,0.01,0.013,0.0,0.0,49.0,17.15,idle
2.2,1.0,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17.15,idle
2.3,1.5,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17.15,idle
2.4,3.0,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17.15,idle
2.5,2.5,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17.15,idle
2.6,10.4,2611.2,47.3,7.32,5.157,0.0,0.01,0.013,0.0,0.0,49.0,17.15,idle
2.7,15.8,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17.15,idle
2.8,12.6,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,49.0,17.15,idle
2.9,4.5,2611.2,47.3,7.31,0.0,0.156,0.0,0.0,0.0,0.0,48.0,17.15,idle
3.0,0.5,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,48.0,17.15,idle
3.1,2.0,2611.2,47.3,7.31,0.0,0.0,0.01,0.013,0.0,0.0,48.0,17.23,idle
3.2,0.5,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,48.0,17.23,idle
3.3,1.1,2611.2,47.3,7.31,0.0,0.787,0.0,0.0,0.0,0.0,48.0,17.23,idle
3.4,6.7,2611.2,47.3,7.31,0.025,0.0,0.007,0.007,0.0,0.0,48.0,17.23,idle
3.5,2.4,2611.2,47.3,7.31,0.0,0.0,0.01,0.013,0.0,0.0,48.0,17.23,idle
3.6,1.2,2611.2,47.3,7.31,0.609,0.0,0.0,0.0,0.0,0.0,48.0,17.23,idle
3.7,3.0,2611.2,47.3,7.32,0.0,0.0,0.0,0.0,0.0,0.0,48.0,17.23,idle
3.8,1.6,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,5.0,48.0,17.23,idle
3.9,1.1,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,5.0,48.0,17.23,idle
4.0,1.3,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,5.0,48.0,17.23,idle
4.1,2.0,2611.2,47.3,7.31,0.0,0.0,0.011,0.013,0.0,0.0,48.0,17.43,idle
4.2,1.0,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,48.0,17.43,idle
4.3,0.5,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,48.0,17.43,idle
4.4,1.5,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,48.0,17.43,idle
4.5,0.5,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,48.0,17.43,idle
4.6,2.0,2611.2,47.3,7.31,0.0,0.234,0.01,0.013,0.0,0.0,48.0,17.43,idle
4.7,0.5,2611.2,47.3,7.31,0.078,0.0,0.0,0.0,0.0,0.0,48.0,17.43,idle
4.8,0.5,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,48.0,17.43,idle
4.9,1.0,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,48.0,17.43,idle
5.0,0.5,2611.2,47.3,7.31,0.0,0.0,0.0,0.0,0.0,0.0,48.0,17.43,idle
