time,cpu_percent,cpu_freq_mhz,ram_percent,ram_used_gb,disk_read_mb_s,disk_write_mb_s,net_sent_mb_s,net_recv_mb_s,gpu_util_percent,gpu_mem_percent,gpu_temp_c,gpu_power_w,label
0.0,0.2,2611.2,47.2,7.29,0.0,0.0,0.0,0.0,0.0,0.0,43.0,15.65,idle
0.1,4.9,2611.2,47.2,7.29,0.0,0.0,0.011,0.013,0.0,0.0,43.0,15.65,idle
0.2,1.5,2611.2,47.2,7.29,0.0,0.0,0.0,0.0,0.0,0.0,43.0,15.65,idle
0.3,3.5,2611.2,47.2,7.29,0.0,0.0,0.0,0.0,0.0,0.0,43.0,15.65,idle
0.4,1.5,2611.2,47.1,7.29,0.0,0.0,0.0,0.0,0.0,0.0,43.0,15.8,idle
0.5,1.5,2611.2,47.1,7.29,0.0,0.0,0.0,0.0,0.0,0.0,43.0,15.8,idle
0.6,1.0,2611.2,47.1,7.29,0.0,0.0,0.011,0.013,0.0,0.0,43.0,15.8,idle
0.7,1.0,2611.2,47.2,7.29,0.0,0.0,0.0,0.0,0.0,0.0,43.0,15.8,idle
0.8,0.5,2611.2,47.2,7.29,0.0,0.0,0.0,0.0,0.0,0.0,43.0,15.8,idle
0.9,1.5,2611.2,47.2,7.29,0.0,0.0,0.0,0.0,0.0,0.0,43.0,15.8,idle
1.0,1.0,2611.2,47.2,7.29,0.0,0.0,0.0,0.0,0.0,0.0,43.0,15.8,idle
1.1,1.0,2611.2,47.2,7.3,0.0,0.0,0.011,0.013,0.0,0.0,43.0,15.8,idle
1.2,1.5,2611.2,47.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,43.0,15.8,idle
1.3,1.0,2611.2,47.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,43.0,15.82,idle
1.4,1.6,2611.2,47.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,43.0,15.82,idle
1.5,0.7,2611.2,47.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,43.0,15.82,idle
1.6,1.5,2611.2,47.2,7.29,0.0,0.0,0.011,0.013,0.0,0.0,43.0,15.82,idle
1.7,1.0,2611.2,47.2,7.29,0.0,0.546,0.0,0.0,0.0,0.0,43.0,15.82,idle
1.8,1.0,2611.2,47.1,7.29,0.0,0.0,0.0,0.0,0.0,0.0,43.0,15.82,idle
1.9,1.0,2611.2,47.1,7.29,0.0,0.0,0.0,0.0,0.0,2.0,43.0,15.82,idle
2.0,1.0,2611.2,47.2,7.29,0.0,0.0,0.0,0.0,0.0,2.0,43.0,15.82,idle
2.1,2.0,2611.2,47.2,7.3,0.0,0.0,0.011,0.013,0.0,0.0,43.0,15.82,idle
2.2,1.5,2611.2,47.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,43.0,15.82,idle
2.3,2.0,2611.2,47.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,43.0,15.82,idle
2.4,0.5,2611.2,47.2,7.29,0.0,0.0,0.0,0.0,0.0,0.0,43.0,16.15,idle
2.5,0.5,2611.2,47.1,7.29,0.0,0.0,0.0,0.0,0.0,0.0,43.0,16.15,idle
2.6,1.0,2611.2,47.2,7.29,0.0,0.0,0.011,0.013,0.0,0.0,43.0,16.15,idle
2.7,1.0,2611.2,47.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,43.0,16.15,idle
2.8,1.5,2611.2,47.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,43.0,16.15,idle
2.9,1.0,2611.2,47.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,43.0,16.15,idle
3.0,1.0,2611.2,47.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,43.0,16.15,idle
3.1,1.5,2611.2,47.2,7.3,0.039,0.0,0.011,0.013,0.0,0.0,43.0,16.15,idle
3.2,1.0,2611.2,47.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,43.0,16.15,idle
3.3,0.5,2611.2,47.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,43.0,16.15,idle
3.4,1.5,2611.2,47.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,43.0,16.16,idle
3.5,0.5,2611.2,47.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,43.0,16.16,idle
3.6,1.0,2611.2,47.2,7.3,0.0,0.0,0.011,0.013,0.0,0.0,43.0,16.16,idle
3.7,0.5,2611.2,47.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,43.0,16.16,idle
3.8,0.5,2611.2,47.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,43.0,16.16,idle
3.9,2.5,2611.2,47.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,43.0,16.16,idle
4.0,2.0,2611.2,47.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,43.0,16.16,idle
4.1,2.5,2611.2,47.2,7.3,0.0,0.0,0.011,0.013,0.0,0.0,43.0,16.16,idle
4.2,0.5,2611.2,47.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,43.0,16.16,idle
