sec,PD,PS,TD,TS,T.Top,T.Bottom,T.Cond in,T Cond mid,T Cond Out,Air in Cond,Ait Out Cond,Ambient outdoor,Speed Comp,label
0.0,1.18,0.83,26.7,31.35,41.1,35.05,23.25,22.6,23.95,23.75,24.5,23.8,0.0,Unlabeled
5.0,1.18,0.83,26.65,31.35,41.1,35.05,23.3,22.7,24.0,24.0,24.65,23.9,0.0,Unlabeled
10.0,1.18,0.83,27.05,31.35,41.05,35.05,23.3,22.8,24.0,24.15,24.7,23.95,0.0,Unlabeled
15.0,1.18,0.83,26.9,31.35,41.05,35.05,23.3,22.85,24.0,24.15,24.95,24.05,0.0,Unlabeled
20.0,1.18,0.83,26.75,31.35,41.05,35.05,23.3,22.95,24.0,24.1,25.1,24.15,0.0,Vibration Spike
25.0,1.19,0.83,26.9,31.35,41.0,35.05,23.3,23.0,24.0,24.2,25.05,24.2,0.0,Vibration Spike
30.0,1.19,0.83,26.6,31.35,41.0,35.05,23.3,23.05,24.0,24.25,25.05,24.25,0.0,Vibration Spike
35.0,1.19,0.83,27.0,31.3,40.95,35.0,23.3,23.15,24.0,24.3,25.0,24.25,0.0,Vibration Spike
40.0,1.19,0.83,27.45,31.3,40.9,35.0,23.3,23.2,24.0,24.2,25.2,24.3,0.0,Vibration Spike
45.0,1.19,0.83,27.55,31.3,40.85,34.9,23.3,23.25,23.95,24.2,25.15,24.25,0.0,Vibration Spike
50.0,1.19,0.83,27.55,31.3,40.9,35.0,23.35,23.35,24.05,24.05,25.05,24.2,0.0,Vibration Spike
55.0,1.19,0.83,27.6,31.3,40.85,35.0,23.35,23.35,24.05,23.9,25.05,24.15,0.0,Vibration Spike
60.0,1.19,0.83,27.5,31.3,40.8,34.95,23.35,23.35,24.05,23.7,24.9,24.0,0.0,Vibration Spike
65.0,1.18,0.83,27.6,31.3,40.8,34.95,23.4,23.4,24.1,23.55,24.8,23.9,0.0,Vibration Spike
70.0,1.18,0.83,27.45,31.3,40.75,34.95,23.4,23.35,24.1,23.45,24.6,23.8,0.0,Vibration Spike
75.0,1.18,0.83,27.35,31.25,40.65,34.9,23.35,23.3,24.1,23.25,24.4,23.6,0.0,Vibration Spike
80.0,1.18,0.83,27.5,31.25,40.65,34.9,23.35,23.25,24.2,23.1,24.3,23.45,0.0,Vibration Spike
85.0,1.18,0.84,27.35,31.3,40.65,34.9,23.35,23.15,24.25,22.85,24.25,23.3,0.0,Vibration Spike
90.0,1.17,0.84,28.45,31.65,40.65,35.1,23.6,23.1,24.4,22.7,23.95,23.15,0.0,Vibration Spike
95.0,1.57,0.65,37.9,25.65,41.7,35.45,35.15,23.45,24.1,22.7,25.6,22.9,13.52,Vibration Spike
100.0,1.82,0.57,47.9,24.75,44.65,36.6,45.0,26.6,23.95,22.65,28.25,22.85,51.24,Vibration Spike
105.0,1.93,0.51,52.05,24.7,48.2,37.65,49.6,34.05,24.35,22.55,31.1,22.9,59.63,Vibration Spike
110.0,1.94,0.47,54.05,24.95,51.6,38.5,52.0,37.85,27.0,22.55,33.55,22.95,60.22,Vibration Spike
115.0,1.89,0.44,55.6,25.2,55.1,39.0,53.55,39.15,35.0,22.75,34.5,23.15,60.3,Vibration Spike
120.0,1.85,0.41,56.95,25.5,57.95,39.55,54.9,39.8,36.45,22.8,35.55,23.4,60.28,Vibration Spike
125.0,1.82,0.38,58.0,25.7,60.45,40.05,56.05,40.25,37.3,22.95,35.6,23.6,60.27,Vibration Spike
130.0,1.79,0.35,58.85,25.8,62.6,40.5,57.0,40.4,37.35,23.05,35.75,23.7,60.27,Vibration Spike
135.0,1.77,0.32,59.85,25.8,64.55,40.9,57.85,40.35,38.1,23.3,36.35,23.8,60.27,Vibration Spike
140.0,1.75,0.31,60.75,25.9,66.45,41.25,58.7,39.75,38.35,23.5,35.4,24.05,60.26,Vibration Spike
145.0,1.73,0.31,61.5,26.05,68.15,41.7,59.55,39.1,38.0,23.7,35.75,24.2,60.25,Vibration Spike
150.0,1.72,0.31,62.45,26.15,69.75,42.0,60.35,39.0,37.5,23.85,35.3,24.35,60.22,Vibration Spike
155.0,1.72,0.31,63.05,26.2,71.1,42.25,61.1,38.95,37.65,24.2,35.8,24.5,60.23,Vibration Spike
160.0,1.72,0.31,63.8,26.25,72.3,42.55,61.75,38.75,37.75,24.35,35.85,24.75,60.23,Vibration Spike
165.0,1.72,0.3,64.45,26.3,73.55,42.95,62.4,38.8,37.6,24.5,36.1,24.95,60.23,Vibration Spike
170.0,1.72,0.3,65.1,26.35,74.7,43.35,63.15,38.9,37.7,24.7,36.0,25.1,60.23,Vibration Spike
175.0,1.73,0.3,65.7,26.35,75.75,43.75,63.75,38.75,37.7,24.8,36.6,25.3,60.22,Vibration Spike
180.0,1.75,0.3,66.4,26.35,76.7,44.1,64.35,38.8,37.7,24.85,36.0,25.45,60.22,Vibration Spike
185.0,1.76,0.3,67.1,26.4,77.7,44.5,65.0,38.9,37.7,25.1,36.3,25.5,60.21,Vibration Spike
190.0,1.78,0.31,67.7,26.45,78.6,44.8,65.65,38.85,37.6,25.0,36.05,25.5,60.2,Vibration Spike
195.0,1.79,0.32,68.35,26.55,79.5,45.3,66.35,38.95,37.75,25.0,36.4,25.45,60.2,Vibration Spike
200.0,1.81,0.33,69.05,26.55,80.3,45.7,67.1,38.95,37.85,24.95,36.25,25.55,60.2,Vibration Spike
205.0,1.83,0.33,69.65,26.55,81.05,46.1,67.75,39.0,38.05,24.75,36.6,25.4,60.2,Vibration Spike
210.0,1.85,0.34,70.2,26.55,81.8,46.55,68.4,38.95,38.2,24.65,36.4,25.4,60.21,Vibration Spike
215.0,1.87,0.34,70.85,26.6,82.45,47.0,69.0,38.95,38.35,24.7,36.35,25.35,60.2,Vibration Spike
220.0,1.87,0.35,71.5,26.55,83.1,47.4,69.6,39.05,38.3,24.6,36.5,25.4,60.21,Vibration Spike
225.0,1.87,0.35,72.05,26.6,83.85,47.95,70.15,39.25,38.15,24.65,36.6,25.3,60.22,Vibration Spike
230.0,1.86,0.35,72.5,26.6,84.45,48.45,70.7,39.5,38.0,24.65,36.7,25.25,60.23,Vibration Spike
235.0,1.84,0.35,73.05,26.6,85.0,48.9,71.15,39.75,38.15,24.65,36.65,25.3,60.23,Vibration Spike
240.0,1.84,0.35,73.4,26.6,85.4,49.35,71.6,40.05,38.4,24.4,36.45,25.15,60.23,Vibration Spike
245.0,1.83,0.34,73.85,26.55,85.85,49.8,72.1,40.3,38.65,24.35,36.8,25.2,60.23,Vibration Spike
250.0,1.83,0.34,74.2,26.45,86.15,50.2,72.5,40.45,38.9,24.2,37.0,25.1,60.23,Vibration Spike
255.0,1.83,0.34,74.6,26.4,86.45,50.6,72.85,40.55,39.0,24.05,37.1,25.25,60.23,Vibration Spike
260.0,1.83,0.34,75.0,26.35,86.95,51.05,73.25,40.6,38.95,23.9,37.8,25.15,60.23,Vibration Spike
265.0,1.83,0.33,75.35,26.25,87.3,51.5,73.6,40.55,38.85,24.05,37.3,25.05,60.22,Vibration Spike
270.0,1.83,0.33,75.75,26.15,87.65,51.9,73.9,40.6,38.6,24.05,36.8,25.15,60.22,Vibration Spike
275.0,1.85,0.31,76.2,26.0,88.05,52.25,74.4,40.7,38.6,24.05,37.35,25.05,61.94,Vibration Spike
280.0,1.85,0.31,76.75,25.9,88.65,52.65,74.9,40.95,38.85,23.9,37.1,25.2,68.37,Vibration Spike
285.0,1.85,0.3,77.2,25.8,89.1,53.05,75.3,41.0,38.95,23.9,37.7,24.95,67.85,Vibration Spike
290.0,1.83,0.3,77.65,25.7,89.6,53.5,75.85,41.05,38.9,23.95,37.65,25.0,67.22,Vibration Spike
295.0,1.82,0.3,78.05,25.6,90.0,53.9,76.2,41.0,38.9,23.9,38.15,25.0,66.47,Vibration Spike
300.0,1.81,0.3,78.4,25.45,90.45,54.25,76.55,40.8,38.85,23.75,37.6,25.05,65.64,Vibration Spike
305.0,1.82,0.29,78.8,25.35,90.5,54.6,76.9,40.6,39.05,23.7,37.3,25.05,65.68,Vibration Spike
310.0,1.82,0.29,79.15,25.25,90.95,55.05,77.4,40.45,39.05,23.6,37.6,25.1,66.05,Vibration Spike
315.0,1.83,0.29,79.55,25.05,91.6,55.35,77.75,40.2,39.05,23.55,37.2,25.05,66.57,Vibration Spike
320.0,1.84,0.29,80.0,24.95,92.05,55.65,78.1,39.95,39.05,23.55,37.25,25.2,67.21,Vibration Spike
325.0,1.85,0.29,80.4,24.8,92.45,56.0,78.5,39.7,38.85,23.5,37.3,25.05,67.46,Vibration Spike
330.0,1.85,0.29,80.75,24.6,92.65,56.25,78.95,39.6,38.65,23.55,37.05,25.0,67.71,Vibration Spike
335.0,1.85,0.29,81.15,24.5,93.25,56.6,79.3,39.45,38.45,23.4,37.0,25.0,67.61,Vibration Spike
340.0,1.85,0.28,81.5,24.25,93.6,56.95,79.65,39.3,38.05,23.4,37.1,24.9,67.23,Vibration Spike
345.0,1.84,0.28,81.85,24.15,93.95,57.25,80.0,39.15,37.8,23.3,36.95,24.8,67.3,Vibration Spike
350.0,1.84,0.28,82.2,24.05,94.3,57.6,80.3,39.1,37.45,23.2,36.7,24.75,67.72,Vibration Spike
355.0,1.84,0.28,82.5,23.9,94.5,58.05,80.7,39.25,37.3,23.4,36.75,24.85,68.26,Vibration Spike
360.0,1.83,0.28,82.8,23.75,94.75,58.4,81.0,39.5,37.3,23.2,37.1,24.85,69.03,Vibration Spike
365.0,1.83,0.28,83.2,23.6,94.9,58.75,81.3,39.8,37.65,23.25,37.4,24.8,70.11,Vibration Spike
370.0,1.84,0.28,83.55,23.4,95.15,59.15,81.65,40.15,37.95,23.25,37.2,24.7,71.55,Vibration Spike
375.0,1.84,0.28,83.95,23.25,95.35,59.5,82.05,40.45,38.35,23.2,37.6,24.8,72.62,Vibration Spike
380.0,1.84,0.28,84.15,23.05,95.6,59.85,82.35,40.8,38.55,23.25,38.05,24.85,73.22,Vibration Spike
385.0,1.85,0.28,84.5,22.85,95.75,60.25,82.7,41.0,38.8,23.2,38.15,24.85,73.58,Vibration Spike
390.0,1.84,0.28,84.75,22.65,95.95,60.6,83.0,41.1,39.05,23.25,38.45,24.8,73.67,Vibration Spike
395.0,1.84,0.28,85.0,22.45,95.75,61.0,83.35,41.15,39.2,23.25,37.9,24.8,73.56,Vibration Spike
400.0,1.83,0.27,85.3,22.3,95.95,61.45,83.6,41.15,39.35,23.25,38.15,24.9,73.24,Vibration Spike
405.0,1.82,0.27,85.5,22.1,96.35,61.8,83.75,41.05,39.3,23.1,38.25,24.9,72.88,Vibration Spike
410.0,1.81,0.27,85.7,21.9,96.45,62.1,83.95,40.85,39.2,23.2,38.35,25.0,72.15,Vibration Spike
415.0,1.81,0.26,85.85,21.8,96.55,62.5,84.15,40.7,39.0,23.2,37.55,24.85,71.32,Vibration Spike
420.0,1.8,0.26,85.9,21.6,96.35,62.8,84.35,40.5,38.9,23.1,37.65,24.9,70.45,Vibration Spike
425.0,1.8,0.26,86.1,21.5,96.45,63.2,84.45,40.2,38.7,23.05,37.6,24.85,69.58,Vibration Spike
430.0,1.8,0.26,86.3,21.35,96.95,63.45,84.55,39.85,38.35,23.0,37.5,24.9,69.18,Vibration Spike
435.0,1.8,0.26,86.5,21.15,97.1,63.8,84.8,39.5,38.15,23.1,36.95,24.9,69.0,Vibration Spike
440.0,1.81,0.26,86.7,21.0,97.25,64.0,85.0,39.3,37.95,23.05,36.6,24.9,69.65,Vibration Spike
445.0,1.82,0.26,86.9,20.9,97.45,64.35,85.2,39.15,37.9,23.15,36.85,24.9,70.38,Vibration Spike
450.0,1.83,0.26,87.15,20.75,97.65,64.6,85.5,39.15,37.8,23.0,36.55,24.75,71.23,Vibration Spike
455.0,1.84,0.26,87.45,20.65,97.8,64.9,85.8,39.2,37.75,23.1,37.05,24.55,72.62,Vibration Spike
460.0,1.85,0.26,87.75,20.45,98.0,65.15,86.05,39.25,37.7,23.0,37.05,24.6,73.79,Vibration Spike
465.0,1.86,0.26,88.1,20.35,98.3,65.45,86.4,39.5,37.75,23.1,37.4,24.65,74.78,Vibration Spike
470.0,1.86,0.26,88.4,20.15,98.45,65.7,86.65,39.75,37.85,23.0,37.4,24.65,76.18,Vibration Spike
475.0,1.87,0.26,88.7,20.0,98.65,66.0,86.95,40.05,38.1,23.1,37.6,24.85,77.22,Vibration Spike
