timestamp,RPM,Vibration_X,Vibration_Y,Vibration_Z,Temperature,Current_A,Pressure_PSI
0.0,1500.0,0.149,0.7601,-0.1018,45.0,16.69,47.52
0.01,1500.94,0.9591,0.3867,-0.046,45.11,17.685,47.54
0.02,1501.89,0.1937,-1.3163,-0.0892,45.23,17.664,47.4
0.03,1502.83,-0.545,-0.5826,0.016,45.36,17.066,47.01
0.04,1503.77,-0.069,1.052,0.1803,45.58,17.835,47.56
0.05,1504.71,0.9329,0.1816,-0.1166,45.63,16.812,48.66
0.06,1505.66,0.4719,-0.6081,0.1513,45.67,17.241,47.66
0.07,1506.6,-0.7742,-0.3783,-0.1186,45.91,16.58,48.83
0.08,1507.54,-0.1383,0.6881,-0.1256,45.99,18.37,46.48
0.09,1508.48,1.1684,0.465,0.1211,45.98,17.486,47.12
0.1,1509.43,-0.1422,-0.4735,0.1402,46.06,18.697,46.63
0.11,1510.37,-1.1466,-0.3171,0.1256,46.14,18.026,47.16
0.12,1511.31,0.0764,0.8766,-0.1951,46.42,17.86,50.16
0.13,1512.25,0.4342,0.4411,-0.0724,46.63,17.354,49.61
0.14,1513.19,-0.5219,-0.8567,0.1261,46.87,17.135,47.12
0.15,1514.13,-1.1781,-0.6285,0.0034,47.07,17.931,49.28
0.16,1515.08,-0.2988,0.3511,-0.158,47.28,17.645,48.26
0.17,1516.02,1.1049,1.0112,0.0655,47.32,17.023,48.07
0.18,1516.96,-0.2781,-0.8398,-0.1038,47.42,16.945,46.96
0.19,1517.9,-1.4356,-0.4012,0.2656,47.44,17.235,50.6
0.2,1518.84,0.4461,0.8656,0.2355,47.53,18.637,46.76
0.21,1519.78,0.9454,0.317,0.0866,47.71,18.844,48.78
0.22,1520.72,0.0133,-0.928,0.2084,47.84,17.851,47.84
0.23,1521.66,-1.4418,-0.9007,0.0053,48.09,17.834,50.58
0.24,1522.6,-0.1557,1.4521,0.1194,48.08,17.603,49.01
0.2501,1523.54,1.0489,0.1923,0.2169,48.25,17.315,49.51
0.2601,1524.48,-0.3536,-1.1423,0.0418,48.23,18.481,49.24
0.2701,1525.42,-0.9042,-0.611,-0.0435,48.36,18.742,49.86
0.2801,1526.36,-0.1712,1.2077,-0.2503,48.54,17.37,49.96
0.2901,1527.3,0.9306,0.5047,-0.018,48.63,17.786,49.82
0.3001,1528.24,-0.1901,-1.1961,0.1293,48.8,17.614,49.28
0.3101,1529.18,-0.4637,-0.1875,0.1359,48.81,17.64,47.72
0.3201,1530.11,0.0062,1.0712,0.0818,48.75,18.454,48.16
0.3301,1531.05,0.7033,0.6358,-0.0875,48.92,17.217,51.41
0.3401,1531.99,0.2359,-0.711,-0.29,49.2,18.117,49.77
0.3501,1532.93,-1.3881,0.0974,-0.081,49.21,18.259,49.23
0.3601,1533.86,0.0742,1.4376,-0.0387,49.44,17.835,48.39
0.3701,1534.8,0.4352,0.3296,-0.0541,49.56,18.364,47.85
0.3801,1535.74,-0.4107,-0.4867,0.1001,49.53,18.003,49.5
0.3901,1536.67,-0.9653,-0.4055,0.2903,49.52,18.549,51.75
0.4001,1537.61,0.2344,1.0189,0.0263,49.63,17.19,50.07
0.4101,1538.54,1.077,0.0783,-0.0404,49.7,17.788,51.39
0.4201,1539.48,-0.0482,-0.9381,-0.0308,49.67,17.938,49.86
0.4301,1540.41,-1.1172,-0.7046,0.0103,49.61,16.649,52.11
0.4401,1541.35,-0.4294,1.1039,-0.1157,49.63,17.453,50.43
0.4501,1542.28,0.8121,0.7692,0.0093,49.76,17.601,49.16
0.4601,1543.21,-0.1531,-1.4169,0.0765,49.87,18.493,50.42
0.4701,1544.14,-0.7122,-0.507,0.0223,49.92,17.677,53.88
0.4801,1545.08,0.1186,1.1802,0.078,50.05,17.632,53.92
0.4901,1546.01,0.5016,0.4549,0.0555,50.26,18.461,51.85
0.5001,1546.94,0.081,-0.7189,-0.2561,50.41,17.255,51.38
0.5101,1547.87,-1.1473,-0.4138,0.0856,50.5,17.039,52.18
0.5201,1548.8,-0.1862,0.9879,-0.0905,50.69,17.905,52.07
0.5301,1549.73,1.2165,0.4338,-0.1747,50.7,17.373,51.73
0.5401,1550.66,0.2918,-1.2081,-0.1551,50.78,17.403,52.51
0.5501,1551.59,-0.7549,-0.782,0.0543,50.87,18.406,51.93
0.5601,1552.52,-0.2336,1.0827,-0.0225,50.84,18.569,51.12
0.5701,1553.45,0.9427,0.5065,-0.2634,50.91,18.536,49.87
0.5801,1554.37,0.0805,-0.9413,0.083,50.8,18.707,50.9
0.5901,1555.3,-0.744,-0.6077,-0.2275,51.09,18.785,52.94
0.6001,1556.23,-0.1242,0.8318,0.0327,51.1,17.111,52.23
0.6101,1557.15,0.9822,0.7635,0.0238,51.36,18.411,52.5
0.6201,1558.08,-0.3521,-0.9933,0.145,51.47,17.933,51.85
0.6301,1559.0,-1.398,-0.837,0.2549,51.63,17.835,50.82
0.6401,1559.92,0.2647,1.0968,-0.1922,51.68,18.5,51.91
0.6501,1560.85,1.4472,0.4506,-0.0206,51.8,17.366,51.17
